id,timestamp,season,holiday,workingday,weather,temp,temp_feel,humidity,windspeed,demand,temp_category
1,2017-01-01 00:00:00,spring,No,No,Clear or partly cloudy,9.84,14.395,81.0,0.0,2.772588722239781,Mild
2,2017-01-01 01:00:00,spring,No,No,Clear or partly cloudy,9.02,13.635,80.0,0.0,3.688879454113936,Mild
3,2017-01-01 02:00:00,spring,No,No,Clear or partly cloudy,9.02,13.635,80.0,0.0,3.4657359027997265,Mild
4,2017-01-01 03:00:00,spring,No,No,Clear or partly cloudy,9.84,14.395,75.0,0.0,2.5649493574615367,Mild
5,2017-01-01 04:00:00,spring,No,No,Clear or partly cloudy,9.84,14.395,75.0,0.0,0.0,Mild
6,2017-01-01 05:00:00,spring,No,No,Mist,9.84,12.88,75.0,6.0032,0.0,Mild
7,2017-01-01 06:00:00,spring,No,No,Clear or partly cloudy,,13.635,80.0,0.0,0.6931471805599453,Mild
8,2017-01-01 07:00:00,spring,No,No,Clear or partly cloudy,8.2,12.88,86.0,0.0,1.0986122886681098,Mild
9,2017-01-01 08:00:00,spring,No,No,Clear or partly cloudy,9.84,14.395,75.0,0.0,2.079441541679836,Mild
10,2017-01-01 09:00:00,spring,No,No,Clear or partly cloudy,13.12,17.425,76.0,0.0,2.6390573296152584,Mild
11,2017-01-01 10:00:00,spring,No,No,Clear or partly cloudy,15.58,19.695,76.0,16.9979,3.58351893845611,Mild
12,2017-01-01 11:00:00,spring,No,No,Clear or partly cloudy,14.76,16.665,81.0,19.0012,4.02535169073515,Mild
13,2017-01-01 12:00:00,spring,No,No,Clear or partly cloudy,17.22,21.21,77.0,19.0012,4.430816798843313,Mild
14,2017-01-01 13:00:00,spring,No,No,Mist,18.86,22.725,72.0,19.9995,4.543294782270004,Mild
15,2017-01-01 14:00:00,spring,No,No,Mist,18.86,22.725,72.0,19.0012,4.663439094112067,Mild
16,2017-01-01 15:00:00,spring,No,No,Mist,18.04,21.97,77.0,19.9995,4.700480365792417,Mild
17,2017-01-01 16:00:00,spring,No,No,Mist,17.22,21.21,82.0,19.9995,4.532599493153256,Mild
18,2017-01-01 17:00:00,spring,No,No,Mist,18.04,21.97,82.0,19.0012,4.204692619390966,Mild
19,2017-01-01 18:00:00,spring,No,No,Light snow or rain,17.22,21.21,88.0,16.9979,3.555348061489413,Mild
20,2017-01-01 19:00:00,spring,No,No,Light snow or rain,,21.21,88.0,16.9979,3.610917912644224,Mild
21,2017-01-01 20:00:00,spring,No,No,Mist,16.4,20.455,87.0,16.9979,3.58351893845611,Mild
22,2017-01-01 21:00:00,spring,No,No,Mist,16.4,20.455,87.0,12.998,3.5263605246161616,Mild
23,2017-01-01 22:00:00,spring,No,No,Mist,16.4,20.455,94.0,15.0013,3.332204510175204,Mild
24,2017-01-01 23:00:00,spring,No,No,Mist,,22.725,88.0,19.9995,3.6635616461296463,Mild
25,2017-01-02 00:00:00,spring,No,No,Mist,18.86,22.725,88.0,19.9995,2.833213344056216,Mild
26,2017-01-02 01:00:00,spring,No,No,Mist,18.04,21.97,94.0,16.9979,2.833213344056216,Mild
27,2017-01-02 02:00:00,spring,No,No,Mist,,21.21,100.0,19.0012,2.19722457733622,Mild
28,2017-01-02 03:00:00,spring,No,No,Mist,18.86,22.725,94.0,12.998,1.791759469228055,Mild
29,2017-01-02 04:00:00,spring,No,No,Mist,18.86,22.725,94.0,12.998,1.0986122886681098,Mild
30,2017-01-02 06:00:00,spring,No,No,Light snow or rain,17.22,21.21,77.0,19.9995,0.6931471805599453,Mild
31,2017-01-02 07:00:00,spring,No,No,Mist,16.4,20.455,76.0,12.998,0.0,Mild
32,2017-01-02 08:00:00,spring,No,No,Light snow or rain,,20.455,71.0,15.0013,2.079441541679836,Mild
33,2017-01-02 09:00:00,spring,No,No,Mist,15.58,19.695,76.0,15.0013,2.995732273553991,Mild
34,2017-01-02 10:00:00,spring,No,No,Mist,14.76,17.425,81.0,15.0013,3.970291913552122,Mild
35,2017-01-02 11:00:00,spring,No,No,Mist,14.76,16.665,71.0,16.9979,4.248495242049359,Mild
36,2017-01-02 12:00:00,spring,No,No,Mist,14.76,16.665,66.0,19.9995,4.532599493153256,Mild
37,2017-01-02 13:00:00,spring,No,No,Mist,14.76,17.425,66.0,8.9981,4.31748811353631,Mild
38,2017-01-02 14:00:00,spring,No,No,Light snow or rain,14.76,17.425,76.0,12.998,4.07753744390572,Mild
39,2017-01-02 15:00:00,spring,No,No,Light snow or rain,13.94,16.665,81.0,11.0014,4.30406509320417,Mild
40,2017-01-02 16:00:00,spring,No,No,Light snow or rain,,16.665,71.0,11.0014,4.330733340286331,Mild
41,2017-01-02 17:00:00,spring,No,No,Clear or partly cloudy,13.94,16.665,57.0,12.998,4.174387269895637,Mild
42,2017-01-02 18:00:00,spring,No,No,Mist,14.76,16.665,46.0,22.0028,3.970291913552122,Mild
43,2017-01-02 19:00:00,spring,No,No,Clear or partly cloudy,13.12,14.395,42.0,30.0026,3.4011973816621555,Mild
44,2017-01-02 20:00:00,spring,No,No,Clear or partly cloudy,,13.635,39.0,23.9994,3.091042453358316,Mild
45,2017-01-02 21:00:00,spring,No,No,Clear or partly cloudy,10.66,11.365,44.0,22.0028,3.4339872044851463,Mild
46,2017-01-02 22:00:00,spring,No,No,Clear or partly cloudy,9.84,10.605,44.0,19.9995,2.19722457733622,Mild
47,2017-01-02 23:00:00,spring,No,No,Clear or partly cloudy,,11.365,47.0,11.0014,2.079441541679836,Mild
48,2017-01-03 00:00:00,spring,No,Yes,Clear or partly cloudy,9.02,9.85,44.0,23.9994,1.6094379124341005,Cold
49,2017-01-03 01:00:00,spring,No,Yes,Clear or partly cloudy,,8.335,44.0,27.9993,0.6931471805599453,Cold
50,2017-01-03 04:00:00,spring,No,Yes,Clear or partly cloudy,6.56,6.82,47.0,26.0027,0.0,Cold
51,2017-01-03 05:00:00,spring,No,Yes,Clear or partly cloudy,6.56,6.82,47.0,19.0012,1.0986122886681098,Cold
52,2017-01-03 06:00:00,spring,No,Yes,Clear or partly cloudy,5.74,5.305,50.0,26.0027,3.4011973816621555,Cold
53,2017-01-03 07:00:00,spring,No,Yes,Clear or partly cloudy,,6.82,,12.998,4.158883083359672,Cold
54,2017-01-03 08:00:00,spring,No,Yes,Clear or partly cloudy,5.74,6.06,50.0,19.0012,5.0369526024136295,Cold
55,2017-01-03 09:00:00,spring,No,Yes,Clear or partly cloudy,6.56,6.82,43.0,26.0027,4.477336814478207,Cold
56,2017-01-03 10:00:00,spring,No,Yes,Clear or partly cloudy,7.38,8.335,43.0,16.9979,3.784189633918261,Cold
57,2017-01-03 11:00:00,spring,No,Yes,Clear or partly cloudy,8.2,9.09,40.0,22.0028,3.9318256327243257,Cold
58,2017-01-03 12:00:00,spring,No,Yes,Clear or partly cloudy,,10.605,35.0,19.9995,4.110873864173311,Mild
59,2017-01-03 13:00:00,spring,No,Yes,Clear or partly cloudy,9.84,10.605,35.0,19.0012,4.110873864173311,Mild
60,2017-01-03 14:00:00,spring,No,Yes,Clear or partly cloudy,10.66,12.12,30.0,19.0012,4.343805421853684,Mild
61,2017-01-03 15:00:00,spring,No,Yes,Clear or partly cloudy,10.66,12.12,30.0,16.9979,4.276666119016055,Mild
62,2017-01-03 16:00:00,spring,No,Yes,Clear or partly cloudy,10.66,12.12,30.0,16.9979,4.330733340286331,Mild
63,2017-01-03 17:00:00,spring,No,Yes,Clear or partly cloudy,9.84,11.365,30.0,15.0013,5.056245805348308,Mild
64,2017-01-03 18:00:00,spring,No,Yes,Clear or partly cloudy,9.84,12.88,32.0,7.0015,5.056245805348308,Mild
65,2017-01-03 19:00:00,spring,No,Yes,Clear or partly cloudy,8.2,12.88,47.0,0.0,4.700480365792417,Mild
66,2017-01-03 20:00:00,spring,No,Yes,Clear or partly cloudy,,11.365,47.0,7.0015,3.951243718581428,Mild
67,2017-01-03 21:00:00,spring,No,Yes,Clear or partly cloudy,7.38,9.85,64.0,8.9981,3.951243718581428,Cold
68,2017-01-03 22:00:00,spring,No,Yes,Clear or partly cloudy,5.74,7.575,69.0,8.9981,2.995732273553991,Cold
69,2017-01-03 23:00:00,spring,No,Yes,Clear or partly cloudy,7.38,10.605,55.0,7.0015,2.4849066497880004,Mild
70,2017-01-04 00:00:00,spring,No,Yes,Clear or partly cloudy,6.56,9.09,55.0,7.0015,1.6094379124341005,Cold
71,2017-01-04 01:00:00,spring,No,Yes,Clear or partly cloudy,6.56,9.09,59.0,7.0015,0.6931471805599453,Cold
72,2017-01-04 02:00:00,spring,No,Yes,Clear or partly cloudy,5.74,7.575,63.0,8.9981,0.0,Cold
73,2017-01-04 04:00:00,spring,No,Yes,Clear or partly cloudy,5.74,9.09,63.0,6.0032,0.6931471805599453,Cold
74,2017-01-04 05:00:00,spring,No,Yes,Clear or partly cloudy,4.92,7.575,68.0,7.0015,1.3862943611198906,Cold
75,2017-01-04 06:00:00,spring,No,Yes,Clear or partly cloudy,,7.575,74.0,7.0015,3.58351893845611,Cold
76,2017-01-04 07:00:00,spring,No,Yes,Clear or partly cloudy,4.92,7.575,74.0,8.9981,4.543294782270004,Cold
77,2017-01-04 08:00:00,spring,No,Yes,Clear or partly cloudy,5.74,7.575,69.0,11.0014,5.187385805840755,Cold
78,2017-01-04 09:00:00,spring,No,Yes,Clear or partly cloudy,6.56,7.575,64.0,,4.605170185988092,Cold
79,2017-01-04 10:00:00,spring,No,Yes,Mist,6.56,6.82,69.0,22.0028,3.737669618283368,Cold
80,2017-01-04 11:00:00,spring,No,Yes,Clear or partly cloudy,9.02,10.605,51.0,19.9995,4.04305126783455,Mild
81,2017-01-04 12:00:00,spring,No,Yes,Clear or partly cloudy,9.02,11.365,51.0,11.0014,4.356708826689592,Mild
82,2017-01-04 13:00:00,spring,No,Yes,Clear or partly cloudy,9.84,11.365,56.0,12.998,4.574710978503383,Mild
83,2017-01-04 14:00:00,spring,No,Yes,Clear or partly cloudy,10.66,12.88,52.0,15.0013,4.143134726391533,Mild
84,2017-01-04 15:00:00,spring,No,Yes,Clear or partly cloudy,,13.635,52.0,16.9979,4.174387269895637,Mild
85,2017-01-04 16:00:00,spring,No,Yes,Clear or partly cloudy,12.3,14.395,49.0,16.9979,4.418840607796598,Mild
86,2017-01-04 17:00:00,spring,No,Yes,Clear or partly cloudy,11.48,13.635,48.0,15.0013,5.356586274672012,Mild
87,2017-01-04 18:00:00,spring,No,Yes,Clear or partly cloudy,10.66,12.88,48.0,12.998,5.204006687076795,Mild
88,2017-01-04 19:00:00,spring,No,Yes,Clear or partly cloudy,9.84,12.88,48.0,7.0015,4.718498871295094,Mild
89,2017-01-04 20:00:00,spring,No,Yes,Clear or partly cloudy,9.84,12.88,48.0,7.0015,3.9889840465642745,Mild
90,2017-01-04 21:00:00,spring,No,Yes,Clear or partly cloudy,,13.635,64.0,0.0,3.871201010907891,Mild
