id,timestamp,season,holiday,workingday,humidity,windspeed,demand,temp_category,weather_code
1,2017-01-01 00:00:00,spring,No,No,81.0,0.0,2.772588722239781,Mild,1
2,2017-01-01 01:00:00,spring,No,No,80.0,0.0,3.6888794541139363,Mild,1
3,2017-01-01 02:00:00,spring,No,No,80.0,0.0,3.4657359027997265,Mild,1
4,2017-01-01 03:00:00,spring,No,No,75.0,0.0,2.5649493574615367,Mild,1
5,2017-01-01 04:00:00,spring,No,No,75.0,0.0,0.0,Mild,1
6,2017-01-01 05:00:00,spring,No,No,75.0,6.0032,0.0,Mild,2
7,2017-01-01 06:00:00,spring,No,No,80.0,0.0,0.6931471805599453,Mild,1
8,2017-01-01 07:00:00,spring,No,No,86.0,0.0,1.0986122886681098,Mild,1
9,2017-01-01 08:00:00,spring,No,No,75.0,0.0,2.0794415416798357,Mild,1
10,2017-01-01 09:00:00,spring,No,No,76.0,0.0,2.6390573296152584,Mild,1
11,2017-01-01 10:00:00,spring,No,No,76.0,16.9979,3.58351893845611,Mild,1
12,2017-01-01 11:00:00,spring,No,No,81.0,19.0012,4.02535169073515,Mild,1
13,2017-01-01 12:00:00,spring,No,No,77.0,19.0012,4.430816798843313,Mild,1
14,2017-01-01 13:00:00,spring,No,No,72.0,19.9995,4.543294782270004,Mild,2
15,2017-01-01 14:00:00,spring,No,No,72.0,19.0012,4.663439094112067,Mild,2
16,2017-01-01 15:00:00,spring,No,No,77.0,19.9995,4.700480365792417,Mild,2
17,2017-01-01 16:00:00,spring,No,No,82.0,19.9995,4.532599493153256,Mild,2
18,2017-01-01 17:00:00,spring,No,No,82.0,19.0012,4.204692619390966,Mild,2
19,2017-01-01 18:00:00,spring,No,No,88.0,16.9979,3.5553480614894135,Mild,3
20,2017-01-01 19:00:00,spring,No,No,88.0,16.9979,3.6109179126442243,Mild,3
21,2017-01-01 20:00:00,spring,No,No,87.0,16.9979,3.58351893845611,Mild,2
22,2017-01-01 21:00:00,spring,No,No,87.0,12.998,3.5263605246161616,Mild,2
23,2017-01-01 22:00:00,spring,No,No,94.0,15.0013,3.332204510175204,Mild,2
24,2017-01-01 23:00:00,spring,No,No,88.0,19.9995,3.6635616461296463,Mild,2
25,2017-01-02 00:00:00,spring,No,No,88.0,19.9995,2.833213344056216,Mild,2
26,2017-01-02 01:00:00,spring,No,No,94.0,16.9979,2.833213344056216,Mild,2
27,2017-01-02 02:00:00,spring,No,No,100.0,19.0012,2.1972245773362196,Mild,2
28,2017-01-02 03:00:00,spring,No,No,94.0,12.998,1.791759469228055,Mild,2
29,2017-01-02 04:00:00,spring,No,No,94.0,12.998,1.0986122886681098,Mild,2
30,2017-01-02 06:00:00,spring,No,No,77.0,19.9995,0.6931471805599453,Mild,3
31,2017-01-02 07:00:00,spring,No,No,76.0,12.998,0.0,Mild,2
32,2017-01-02 08:00:00,spring,No,No,71.0,15.0013,2.0794415416798357,Mild,3
33,2017-01-02 09:00:00,spring,No,No,76.0,15.0013,2.995732273553991,Mild,2
34,2017-01-02 10:00:00,spring,No,No,81.0,15.0013,3.970291913552122,Mild,2
35,2017-01-02 11:00:00,spring,No,No,71.0,16.9979,4.248495242049359,Mild,2
36,2017-01-02 12:00:00,spring,No,No,66.0,19.9995,4.532599493153256,Mild,2
37,2017-01-02 13:00:00,spring,No,No,66.0,8.9981,4.31748811353631,Mild,2
